# Mechanical evidence only: generated from the default-disabled SM-2 link log after original-owner and C-VID closure.
# symbol<TAB>cmake_object_target<TAB>referencing_source
__declspec(dllimport) __sys_errlist
_host_gfi_rdiskette_change	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\gfi.c.obj
_host_gfi_rdiskette_valid	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\gfi.c.obj
_host_runtime_set	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\gfi.c.obj
_aNumPadSCode	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_BiosKeyToInputRecord	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_bPointerOff	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_DisablePIFKeySetup	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_DoFullScreenResume	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_DoMouseInterrupt	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_EnablePIFKeySetup	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_ExitVDM@8	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_get_screen_scale	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_GetConsoleInputWaitHandle	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_host_applClose	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_host_com_close_all	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_host_lpt_close_all	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_host_stream_io_enabled	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_KeyMsgToKeyCode	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_MouseAttachMenuItem	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_MouseDetachMenuItem	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_MouseDisplay	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
_MouseHide	ntdos64-opennt-event-host-objects	overlay\base\mvdm\softpc.new\host\src\nt_event.c.obj
