"disposition_id"	"call_id"	"caller_path"	"caller_package"	"caller_line"	"lexical_callee"	"declaration_id"	"declaration_path"	"declaration_package"	"disposition"	"selected_definition_ids"	"owner"	"recovery_state"	"evidence"
"MVDM-BOUNDARY-00026"	"MVDM-CALL-001767"	"dos/command/cmdexec.c"	"dos"	"481"	"nt_std_handle_notification"	"MVDM-DECL-00046"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-09406"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:481; dos/command/cmd.h:255"
"MVDM-BOUNDARY-00027"	"MVDM-CALL-001798"	"dos/command/cmdexec.c"	"dos"	"620"	"nt_block_event_thread"	"MVDM-DECL-00244"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09143;MVDM-DEF-10139"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:620; inc/softpc.h:36"
"MVDM-BOUNDARY-00028"	"MVDM-CALL-001808"	"dos/command/cmdexec.c"	"dos"	"641"	"nt_resume_event_thread"	"MVDM-DECL-00245"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09144;MVDM-DEF-10140"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:641; inc/softpc.h:37"
"MVDM-BOUNDARY-00029"	"MVDM-CALL-001809"	"dos/command/cmdexec.c"	"dos"	"642"	"nt_std_handle_notification"	"MVDM-DECL-00046"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-09406"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:642; dos/command/cmd.h:255"
"MVDM-BOUNDARY-00030"	"MVDM-CALL-001811"	"dos/command/cmdexit.c"	"dos"	"30"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdexit.c:30; inc/softpc.h:132"
"MVDM-BOUNDARY-00031"	"MVDM-CALL-001865"	"dos/command/cmdmisc.c"	"dos"	"78"	"host_lpt_flush_initialize"	"MVDM-DECL-00250"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09326"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:78; inc/softpc.h:49"
"MVDM-BOUNDARY-00032"	"MVDM-CALL-001868"	"dos/command/cmdmisc.c"	"dos"	"100"	"nt_block_event_thread"	"MVDM-DECL-00244"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09143;MVDM-DEF-10139"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:100; inc/softpc.h:36"
"MVDM-BOUNDARY-00033"	"MVDM-CALL-001869"	"dos/command/cmdmisc.c"	"dos"	"102"	"nt_block_event_thread"	"MVDM-DECL-00244"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09143;MVDM-DEF-10139"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:102; inc/softpc.h:36"
"MVDM-BOUNDARY-00034"	"MVDM-CALL-001880"	"dos/command/cmdmisc.c"	"dos"	"126"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:126; inc/softpc.h:132"
"MVDM-BOUNDARY-00035"	"MVDM-CALL-001885"	"dos/command/cmdmisc.c"	"dos"	"156"	"cmdPushExitInConsoleBuffer"	"MVDM-DECL-00047"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-09148"	"unreviewed"	"unreviewed"	"dos/command/cmdmisc.c:156; dos/command/cmd.h:256"
