canonical_group_id	canonical_group_key	canonical_symbol	grouping_scope	group_kind	raw_identity_count	macro_generated_identity_count	raw_definition_ids	source_identities	dispositions
"MVDM-ZERO-CANONICAL-GROUP-007261"	"linkable:NtVolumeNameToDosVolumeName"	"NtVolumeNameToDosVolumeName"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-000303"	"dos/dem/demsrch.c:2015"	"adapter-backed"
"MVDM-ZERO-CANONICAL-GROUP-007262"	"linkable:NullDlgProc"	"NullDlgProc"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-000478"	"fax/wowfaxui/wfsheets.c:33"	"adapter-backed"
"MVDM-ZERO-CANONICAL-GROUP-007263"	"linkable:num_trans"	"num_trans"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-007298"	"softpc.new/base/disks/floppy.c:2251"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007264"	"linkable:OemMessageToAnsiMessage"	"OemMessageToAnsiMessage"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-008787"	"softpc.new/host/src/nt_error.c:448"	"adapter-backed"
"MVDM-ZERO-CANONICAL-GROUP-007265"	"linkable:OemToUppercaseUnicode"	"OemToUppercaseUnicode"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-010330"	"vdmredir/vrnetapi.c:1161"	"adapter-backed"
"MVDM-ZERO-CANONICAL-GROUP-007266"	"linkable:old_times_sake"	"old_times_sake"	"linkable-original-symbol-family"	"macro-generated-singleton"	"1"	"1"	"MVDM-ZERO-DEFINITION-007091"	"softpc.new/base/debug/yoda.c:4328"	"tool-only"
"MVDM-ZERO-CANONICAL-GROUP-007267"	"linkable:open_gen_file"	"open_gen_file"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-008120"	"softpc.new/dat2obj/dat2obj.c:93"	"tool-only"
"MVDM-ZERO-CANONICAL-GROUP-007268"	"linkable:OpenAdapter"	"OpenAdapter"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-010183"	"vdmredir/vrdlc5c.c:3132"	"adapter-backed"
"MVDM-ZERO-CANONICAL-GROUP-007269"	"linkable:OpenBeepDevice"	"OpenBeepDevice"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009177"	"softpc.new/host/src/nt_sound.c:108"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007270"	"linkable:OpenDevice"	"OpenDevice"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009826"	"vdd/samples/adlibvdd/vdd.c:162"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007271"	"linkable:OpenDirectStation"	"OpenDirectStation"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-010185"	"vdmredir/vrdlc5c.c:3266"	"adapter-backed"
