symbol	source_root	source_path	source_sha256	source_line	linkage	source	rebase_admission
"set_update_routine"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/ega_mode.c"	"1b73d0bdea339dc2a42f9674e04fd14575400070e8436149a84a2ac5510a057d"	"538"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"set_update_routine"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_mode.c"	"d0ea64ba445b8a7c8cb4b11963cece808793b0595183f8be7f115c060eb1f0d9"	"198"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"greyify"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_vide.c"	"3d0159b8bd4d1bcc3448bc61fb90f5b1c34c09099bba49187fe4573354ccc89d"	"100"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"set_dac"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_vide.c"	"3d0159b8bd4d1bcc3448bc61fb90f5b1c34c09099bba49187fe4573354ccc89d"	"109"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"get_dac"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/video/vga_vide.c"	"3d0159b8bd4d1bcc3448bc61fb90f5b1c34c09099bba49187fe4573354ccc89d"	"120"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"host_using_fdisk"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"100"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"host_fdisk_change"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"121"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"close_fdisk"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"478"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"fdisk_heart_beat"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_fdisk.c"	"f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867"	"573"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"high_stretch3"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1401"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"high_stretch4"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_graph.c"	"e08e6414c0261656b67a97f839256ee4ba6565f84ce6799197f92b98436131d9"	"1422"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"host_flpy_heart_beat"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"509"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"nt_floppy_close"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_rflop.c"	"22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29"	"878"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"fl_read_SID"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_vflop.c"	"b2766665ecd787cdc9dbabab3c44f25fcd6185d90b221cdd201a159dd77a339d"	"552"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"DumpTaskInfo"	"O:\repos.external\OpenNT\base\mvdm"	"vdmexts/wow.c"	"385755e94188901161a9e22d63790210f25af014e0a06878655c86f0af856ec4"	"152"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"VrTerminateMailslots"	"O:\repos.external\OpenNT\base\mvdm"	"vdmredir/vrmslot.c"	"70294b72780d3287137310dd4b018b7e572328e1b8bcf9bf4178c32734b95c7c"	"842"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"VrpRemoveProcessMailslots"	"O:\repos.external\OpenNT\base\mvdm"	"vdmredir/vrmslot.c"	"70294b72780d3287137310dd4b018b7e572328e1b8bcf9bf4178c32734b95c7c"	"1251"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"VrpFreeHandle16"	"O:\repos.external\OpenNT\base\mvdm"	"vdmredir/vrmslot.c"	"70294b72780d3287137310dd4b018b7e572328e1b8bcf9bf4178c32734b95c7c"	"1464"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"UnlinkAppInfo"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"58"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"CreateLst"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"89"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
