symbol	source_root	source_path	source_sha256	source_line	linkage	source	rebase_admission
"FreeHsz"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"32"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"IncHszCount"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"50"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"QueryHszLength"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"78"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"QueryHszName"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"101"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"FindAddHsz"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"134"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"FindAddHszHelper"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"147"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"DmgCreateHeap"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"337"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DmgDestroyHeap"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"367"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"ProcessMemError"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"381"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"FarAllocMem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"430"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
