symbol	source_root	source_path	source_sha256	source_line	definition_form
"DmgCreateHeap"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"337"	"k-and-r-body"
"DmgDestroyHeap"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"367"	"ctags-function-body"
"DmgDestroyHeap"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"367"	"ctags-function-body"
"DmgDestroyWindow"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"916"	"ctags-function-body"
"DmgDestroyWindow"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"916"	"ctags-function-body"
"DpmiAllocateBuffer"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"346"	"ctags-function-body"
"DpmiAllocateBuffer"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"346"	"ctags-function-body"
"DpmiSimulateIretCF"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"131"	"ctags-function-body"
"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"131"	"ctags-function-body"
"DpmiSwitchFromDosxStack"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"57"	"ctags-function-body"
"DpmiSwitchFromDosxStack"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"57"	"ctags-function-body"
"DpmiSwitchToDosxStack"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"25"	"ctags-function-body"
"DpmiSwitchToDosxStack"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"25"	"ctags-function-body"
"FarAllocMem"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"430"	"ctags-function-body"
"FarAllocMem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"430"	"ctags-function-body"
"file_back_trace"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/base/debug/btrace.c"	"5a19a8cf73bd5c06c47bf3292189c8989bc970933bb4968336580f4be0028e3f"	"58"	"ctags-function-body"
"file_back_trace"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/btrace.c"	"5a19a8cf73bd5c06c47bf3292189c8989bc970933bb4968336580f4be0028e3f"	"58"	"ctags-function-body"
"FindAddHsz"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"134"	"k-and-r-body"
"FindAddHsz"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmghsz.c"	"057b6e90ed65a296ef1151a02c5e5b8319d7ea5dd2a1904667acd6baf25562a3"	"134"	"k-and-r-body"
"FindLstItem"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"140"	"ctags-function-body"
"FindLstItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"140"	"ctags-function-body"
"FindPileItem"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"627"	"k-and-r-body"
"FindPileItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"627"	"k-and-r-body"
