"worklist_id"	"declaration_id"	"lexical_name"	"declaration_path"	"declaration_package"	"review_family"	"caller_count"	"caller_packages"	"caller_evidence"	"final_owner"	"recovery_state"	"evidence"
"MVDM-WORK-00025"	"MVDM-DECL-03045"	"ica_inb"	"softpc.new/base/inc/ica.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/host/src/nt_com.c:1308; softpc.new/base/inc/ica.h:117"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/ica.h:117"
"MVDM-WORK-00026"	"MVDM-DECL-03046"	"ica_outb"	"softpc.new/base/inc/ica.h"	"softpc.new"	"adapter-softpc-review"	"11"	"softpc.new"	"softpc.new/base/system/ica.c:2023; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2024; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2025; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2026; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2027; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2098; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2099; softpc.new/base/inc/ica.h:118; softpc.new/base/system/ica.c:2100; softpc.new/base/inc/ica.h:118"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/ica.h:118"
"MVDM-WORK-00027"	"MVDM-DECL-03151"	"mouse_video_mode_changed"	"softpc.new/base/inc/mouse_io.h"	"softpc.new"	"adapter-softpc-review"	"3"	"softpc.new"	"softpc.new/base/keymouse/mouse_io.c:1699; softpc.new/base/inc/mouse_io.h:820; softpc.new/base/video/ega_vide.c:140; softpc.new/base/inc/mouse_io.h:820; softpc.new/base/video/ega_vide.c:1330; softpc.new/base/inc/mouse_io.h:820"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/mouse_io.h:820"
"MVDM-WORK-00028"	"MVDM-DECL-03282"	"SyncBaseLineSettings"	"softpc.new/base/inc/rs232.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/base/comms/com.c:2698; softpc.new/base/inc/rs232.h:403; softpc.new/host/src/nt_com.c:517; softpc.new/base/inc/rs232.h:403"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/rs232.h:403"
"MVDM-WORK-00029"	"MVDM-DECL-03306"	"xmsEnableA20Wrapping"	"softpc.new/base/inc/sas.h"	"softpc.new"	"adapter-softpc-review"	"5"	"softpc.new;xms.486"	"softpc.new/base/bios/tape_io.c:186; softpc.new/base/inc/sas.h:214; softpc.new/base/keymouse/keyba.c:2437; softpc.new/base/inc/sas.h:214; xms.486/xmsa20.c:49; softpc.new/base/inc/sas.h:214; xms.486/xmsa20.c:61; softpc.new/base/inc/sas.h:214; xms.486/xmsumb.c:71; softpc.new/base/inc/sas.h:214"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/sas.h:214"
"MVDM-WORK-00030"	"MVDM-DECL-03307"	"xmsDisableA20Wrapping"	"softpc.new/base/inc/sas.h"	"softpc.new"	"adapter-softpc-review"	"4"	"softpc.new;xms.486"	"softpc.new/base/bios/tape_io.c:184; softpc.new/base/inc/sas.h:215; softpc.new/base/keymouse/keyba.c:2425; softpc.new/base/inc/sas.h:215; xms.486/xmsa20.c:51; softpc.new/base/inc/sas.h:215; xms.486/xmsa20.c:85; softpc.new/base/inc/sas.h:215"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/sas.h:215"
"MVDM-WORK-00031"	"MVDM-DECL-03344"	"host_find_file"	"softpc.new/base/inc/spcfile.h"	"softpc.new"	"adapter-softpc-review"	"5"	"softpc.new"	"softpc.new/host/src/nt_rez.c:67; softpc.new/base/inc/spcfile.h:8; softpc.new/host/src/nt_rez.c:76; softpc.new/base/inc/spcfile.h:8; softpc.new/host/src/nt_rez.c:108; softpc.new/base/inc/spcfile.h:8; softpc.new/host/src/nt_rez.c:119; softpc.new/base/inc/spcfile.h:8; softpc.new/host/src/nt_unix.c:370; softpc.new/base/inc/spcfile.h:8"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/spcfile.h:8"
"MVDM-WORK-00032"	"MVDM-DECL-03345"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-softpc-review"	"2182"	"dos;dpmi32;sim32;softpc.new;suballoc;v86;vdmexts;xms.486"	"dos/command/cmdconf.c:236; softpc.new/base/inc/standard.h:83; dos/command/cmdconf.c:243; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:52; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:224; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:363; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:459; softpc.new/base/inc/standard.h:83; dos/command/cmdmisc.c:789; softpc.new/base/inc/standard.h:83; dos/command/cmdredir.c:110; softpc.new/base/inc/standard.h:83"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/standard.h:83"
"MVDM-WORK-00033"	"MVDM-DECL-03451"	"check_D"	"softpc.new/base/inc/yoda.h"	"softpc.new"	"adapter-softpc-review"	"7"	"softpc.new"	"softpc.new/base/ccpu386/c_page.c:563; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:599; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:629; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:659; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:781; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:810; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:840; softpc.new/base/inc/yoda.h:44"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/yoda.h:44"
"MVDM-WORK-00034"	"MVDM-DECL-03463"	"host_ring_bell"	"softpc.new/host/inc/host.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/base/video/video.c:1985; softpc.new/host/inc/host.h:37; softpc.new/host/src/nt_sound.c:81; softpc.new/host/inc/host.h:37"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host.h:37"
