"caller_path"	"source_line"	"symbol"	"raw_context"	"stage1_state"	"next_stage"
"bde/bdeheap.c"	"95"	"strcpy"	"strcpy(he->FileName, he->OwnerName);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"101"	"ReadWordSafe"	"wTemp = ReadWordSafe(base+offset+8);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"115"	"CheckGlobalHeap"	"CheckGlobalHeap("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"126"	"GetHeapBase"	"pghi = (PGHI32)GetHeapBase();"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"127"	"ReadWord"	"offset = (DWORD) ReadWord(&pghi->hi_first);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"133"	"ReadWord"	"count = ReadWord(&pghi->hi_count);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"139"	"ReadGNode32"	"if (!ReadGNode32(p, &gnode)) {"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"141"	"PRINTF"	"PRINTF(""Error reading global heap!\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"153"	"PRINTF"	"PRINTF(""Error: Kernel heap is corrupt!\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"159"	"FindHeapEntry"	"FindHeapEntry("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"171"	"GetHeapBase"	"pghi = (PGHI32)GetHeapBase();"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"181"	"ReadWord"	"offset = (DWORD) ReadWord(&pghi->hi_first);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"198"	"ReadGNode32"	"if (!ReadGNode32(p, &he->gnode)) {"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"200"	"PRINTF"	"PRINTF(""Error reading global heap!\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"206"	"GetSegmentOwnerInfo"	"GetSegmentOwnerInfo(he);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"214"	"ReadWord"	"MaxEntries = ReadWord(&pghi->hi_count);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"221"	"ReadGNode32"	"if (!ReadGNode32(p, &he->gnode)) {"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"223"	"PRINTF"	"PRINTF(""Error reading global heap!\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"234"	"GetSegmentOwnerInfo"	"GetSegmentOwnerInfo(he);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"241"	"GetSegmentOwnerInfo"	"GetSegmentOwnerInfo(he);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"269"	"DumpGHeap"	"DumpGHeap("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"278"	"GetContext"	"mode = GetContext( &ThreadContext );"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"280"	"GetNextToken"	"if (GetNextToken()) {"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"281"	"EXPRESSION"	"he.Selector = (WORD) EXPRESSION( lpArgumentString );"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"284"	"PRINTF"	"PRINTF(""Arena   Base     Limit  Hnd  Own  Fl   Module  Type  Resid"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"285"	"PRINTF"	"PRINTF(""\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"287"	"PRINTF"	"PRINTF(""===== ======== ======== ==== ==== ==  ======== ====  ====="");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"288"	"PRINTF"	"PRINTF(""\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"290"	"FindHeapEntry"	"while (FindHeapEntry(&he, TRUE)) {"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"292"	"PRINTF"	"PRINTF(""%.5x"", he.CurrentEntry);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"293"	"PRINTF"	"PRINTF("" %.8x"", he.gnode.pga_address);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"294"	"PRINTF"	"PRINTF("" %.8X"", he.gnode.pga_size);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdeheap.c"	"295"	"PRINTF"	"PRINTF("" %.4X"", he.gnode.pga_handle);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
