"file_id"	"package"	"current_path"	"target_component"	"opennt_path"	"opennt45_path"	"current_sha256"	"opennt_sha256"	"opennt45_sha256"	"identity"
"T288-IEUVDDEx-0067"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/procdep.c"	"mvdm-host"	"base/mvdm/ieuvddex/procdep.c"	"nt/private/mvdm/ieuvddex/procdep.c"	"33912500d91e1c6a59c7986f19c9e7b251371ee54f675407e1cbd90b8ad7910a"	"33912500d91e1c6a59c7986f19c9e7b251371ee54f675407e1cbd90b8ad7910a"	"33912500d91e1c6a59c7986f19c9e7b251371ee54f675407e1cbd90b8ad7910a"	"exact both"
"T288-IEUVDDEx-0068"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/sources"	"mvdm-host"	"base/mvdm/ieuvddex/sources"	"nt/private/mvdm/ieuvddex/sources"	"442081d62891abce4b675fc23634ec7fc724659483dd56bd67cf65632a6ca41b"	"442081d62891abce4b675fc23634ec7fc724659483dd56bd67cf65632a6ca41b"	"442081d62891abce4b675fc23634ec7fc724659483dd56bd67cf65632a6ca41b"	"exact both"
"T288-IEUVDDEx-0069"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/system.c"	"mvdm-host"	"base/mvdm/ieuvddex/system.c"	"nt/private/mvdm/ieuvddex/system.c"	"92a40ad25c423891b11f9d8ec993b75603cf01ae1c0a8966e1d5cba1c63699dd"	"92a40ad25c423891b11f9d8ec993b75603cf01ae1c0a8966e1d5cba1c63699dd"	"92a40ad25c423891b11f9d8ec993b75603cf01ae1c0a8966e1d5cba1c63699dd"	"exact both"
"T288-IEUVDDEx-0070"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/trace.c"	"mvdm-host"	"base/mvdm/ieuvddex/trace.c"	"nt/private/mvdm/ieuvddex/trace.c"	"b1f435775188a93d9bdd20cfdf4de08e0194d6aa86b695f092336e441a6b9143"	"b1f435775188a93d9bdd20cfdf4de08e0194d6aa86b695f092336e441a6b9143"	"b1f435775188a93d9bdd20cfdf4de08e0194d6aa86b695f092336e441a6b9143"	"exact both"
"T288-IEUVDDEx-0071"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/vdmdll.rc"	"mvdm-host"	"base/mvdm/ieuvddex/vdmdll.rc"	"nt/private/mvdm/ieuvddex/vdmdll.rc"	"364a6bb9fa06d46faffd8876006501babea8ca9f9eb165f28ca47eadd33fb059"	"364a6bb9fa06d46faffd8876006501babea8ca9f9eb165f28ca47eadd33fb059"	"364a6bb9fa06d46faffd8876006501babea8ca9f9eb165f28ca47eadd33fb059"	"exact both"
"T288-KEYMOUSE-0072"	"KEYMOUSE"	"src/mvdm-softpc-firmware/softpc.new/base/keymouse/keyba.c"	"mvdm-softpc-firmware"	"base/mvdm/softpc.new/base/keymouse/keyba.c"	"nt/private/mvdm/softpc.new/base/keymouse/keyba.c"	"d3326210be154866924ca99f1e44e0a76e9a912e15975305804f6b59c4cf7953"	"d3326210be154866924ca99f1e44e0a76e9a912e15975305804f6b59c4cf7953"	"d3326210be154866924ca99f1e44e0a76e9a912e15975305804f6b59c4cf7953"	"exact both"
"T288-KEYMOUSE-0073"	"KEYMOUSE"	"src/mvdm-softpc-firmware/softpc.new/base/keymouse/keybd_io.c"	"mvdm-softpc-firmware"	"base/mvdm/softpc.new/base/keymouse/keybd_io.c"	"nt/private/mvdm/softpc.new/base/keymouse/keybd_io.c"	"c17523f12f895eb144b38692f4d91dc97d539106a8d3e4b8cf23bc4338cd4896"	"c17523f12f895eb144b38692f4d91dc97d539106a8d3e4b8cf23bc4338cd4896"	"c17523f12f895eb144b38692f4d91dc97d539106a8d3e4b8cf23bc4338cd4896"	"exact both"
"T288-KEYMOUSE-0074"	"KEYMOUSE"	"src/mvdm-softpc-firmware/softpc.new/base/keymouse/makefile"	"mvdm-softpc-firmware"	"base/mvdm/softpc.new/base/keymouse/makefile"	"nt/private/mvdm/softpc.new/base/keymouse/makefile"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"exact both"
"T288-KEYMOUSE-0075"	"KEYMOUSE"	"src/mvdm-softpc-firmware/softpc.new/base/keymouse/mouse.c"	"mvdm-softpc-firmware"	"base/mvdm/softpc.new/base/keymouse/mouse.c"	"nt/private/mvdm/softpc.new/base/keymouse/mouse.c"	"2d196d9f0c1ef860436d8eb47c01820913a1164dd1b32e3bd518226653476785"	"2d196d9f0c1ef860436d8eb47c01820913a1164dd1b32e3bd518226653476785"	"2d196d9f0c1ef860436d8eb47c01820913a1164dd1b32e3bd518226653476785"	"exact both"
"T288-KEYMOUSE-0076"	"KEYMOUSE"	"src/mvdm-softpc-firmware/softpc.new/base/keymouse/mouse_io.c"	"mvdm-softpc-firmware"	"base/mvdm/softpc.new/base/keymouse/mouse_io.c"	"nt/private/mvdm/softpc.new/base/keymouse/mouse_io.c"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"1aa3cbd915eb31fa37d4a0b7e0310f77612d39c45d3f552b78ca68b3ce9a3439"	"exact both"
"T288-KEYMOUSE-0077"	"KEYMOUSE"	"src/mvdm-softpc-firmware/softpc.new/base/keymouse/ppi.c"	"mvdm-softpc-firmware"	"base/mvdm/softpc.new/base/keymouse/ppi.c"	"nt/private/mvdm/softpc.new/base/keymouse/ppi.c"	"367cceaa88345e16b2e138faef9addd441da2cd39f95ea3ab6c359651bd8ebf5"	"367cceaa88345e16b2e138faef9addd441da2cd39f95ea3ab6c359651bd8ebf5"	"367cceaa88345e16b2e138faef9addd441da2cd39f95ea3ab6c359651bd8ebf5"	"exact both"
"T288-KEYMOUSE-0078"	"KEYMOUSE"	"src/mvdm-softpc-firmware/softpc.new/base/keymouse/sources"	"mvdm-softpc-firmware"	"base/mvdm/softpc.new/base/keymouse/sources"	"nt/private/mvdm/softpc.new/base/keymouse/sources"	"7446f868cc0f5594935d148de94e1dabc4b643209611038fd09951069d1c84fb"	"7446f868cc0f5594935d148de94e1dabc4b643209611038fd09951069d1c84fb"	"7446f868cc0f5594935d148de94e1dabc4b643209611038fd09951069d1c84fb"	"exact both"
