"target_path"	"owner_root"	"transfer"	"package_root"	"selection"	"primary_path"	"primary_sha256"	"secondary_path"	"secondary_sha256"	"local_guest_path"	"local_guest_sha256"	"rationale"
"softpc.new/base/ccpu386/rcl.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rcl.c"	"6c6b3036663637c364e94cd1be954420de6afde0accc603e1bfcd29d7f9f5bec"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rcl.c"	"6c6b3036663637c364e94cd1be954420de6afde0accc603e1bfcd29d7f9f5bec"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/rcl.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rcl.h"	"93c1dc90b42911df418607e08326e57c0f08d36f141d0aa8efefec53ce9030af"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rcl.h"	"93c1dc90b42911df418607e08326e57c0f08d36f141d0aa8efefec53ce9030af"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/rcr.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rcr.c"	"901161d1296699b11d15e7eb50d03d072300721de4e6d90c15c9cbe04a9bce21"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rcr.c"	"901161d1296699b11d15e7eb50d03d072300721de4e6d90c15c9cbe04a9bce21"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/rcr.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rcr.h"	"f07d9be8794d6bdf8f77b914f682ce2d726dab1cb43438a1b83d1d0a2c67bc39"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rcr.h"	"f07d9be8794d6bdf8f77b914f682ce2d726dab1cb43438a1b83d1d0a2c67bc39"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/ret.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\ret.c"	"9531f24ac58029b3a7eb768a49b8e99242b6e9d9fbc5825b6982ae53687688f5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\ret.c"	"9531f24ac58029b3a7eb768a49b8e99242b6e9d9fbc5825b6982ae53687688f5"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/ret.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\ret.h"	"8a1fcb385fede1b0bbfdfd653b4637adf8d62a3d6ee827c8ded2287b019534f1"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\ret.h"	"8a1fcb385fede1b0bbfdfd653b4637adf8d62a3d6ee827c8ded2287b019534f1"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/rol.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rol.c"	"c144421250cbbf966058e3eca5158224ffe11f20e031d6a727f062bd17d8c7da"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rol.c"	"c144421250cbbf966058e3eca5158224ffe11f20e031d6a727f062bd17d8c7da"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/rol.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rol.h"	"a4aa055ab15c0aebeab6c03695c698cbc163dca8e4a5e98f7e339a51c47fcce2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rol.h"	"a4aa055ab15c0aebeab6c03695c698cbc163dca8e4a5e98f7e339a51c47fcce2"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/ror.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\ror.c"	"0c823e97524b246606db531c1702d33c2acc5c3fa4abc63e03504bce87bd5d57"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\ror.c"	"0c823e97524b246606db531c1702d33c2acc5c3fa4abc63e03504bce87bd5d57"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/ror.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\ror.h"	"29ec301f54dd8b137608e6e7c6fa348a6e1b8a067745cb1cd3b696f83d8a7117"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\ror.h"	"29ec301f54dd8b137608e6e7c6fa348a6e1b8a067745cb1cd3b696f83d8a7117"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/rsrvd.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rsrvd.c"	"38f3d99bc6cddcecc4a2d66cf63746746a4f6774386c94391ec7fb70582db295"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rsrvd.c"	"38f3d99bc6cddcecc4a2d66cf63746746a4f6774386c94391ec7fb70582db295"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/rsrvd.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\rsrvd.h"	"246816f3b89b67bc0cb2a7dc18be8823952e37601f0bd148e13dfd72d72089c6"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\rsrvd.h"	"246816f3b89b67bc0cb2a7dc18be8823952e37601f0bd148e13dfd72d72089c6"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/sahf.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\sahf.c"	"fb473e899aaaceef025c2ebf3aba74e7fe5aa9cbffee982443786c53e0fd84f9"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\sahf.c"	"fb473e899aaaceef025c2ebf3aba74e7fe5aa9cbffee982443786c53e0fd84f9"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/sahf.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\sahf.h"	"8433ec576a5fba57247bb11b5dc5edc812d8b72c5e2dada14eff8b91c91e731a"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\sahf.h"	"8433ec576a5fba57247bb11b5dc5edc812d8b72c5e2dada14eff8b91c91e731a"	""	""	"same bytes with dual provenance"
