source_root	source_path	source_sha256	source_line	symbol	signature_evidence	project_components	selected_identity_status
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"221"	"DumpDescriptor"	"DumpDescriptor( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"307"	"TaskInfo"	"void TaskInfo ( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"6"	"dump_params"	"void dump_params( ULONG params, char convention, int param_words )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"35"	"look_for_near"	"int look_for_near( ULONG pbp, WORD cs, WORD ss, WORD bp, int framed, ULONG csBase, int mode, BOOL fUseSymbols, BOOL fParams )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"208"	"look_for_far"	"int look_for_far( ULONG pbp, WORD *cs, WORD ss, WORD bp, int framed, ULONG *csBase, int mode, BOOL fUseSymbols, BOOL fParams )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"429"	"scan_for_frameless"	"int scan_for_frameless( WORD ss, WORD sp, WORD next_bp, WORD *cs, ULONG ssBase, ULONG *csBase, int limit, int mode, BOOL fUseSymbols, BOOL fParams )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"476"	"stack_trace"	"void stack_trace( WORD ss, ULONG ssBase, WORD sp, WORD bp, WORD cs, ULONG csBase, int limit, int mode, BOOL fUseSymbols, BOOL fGuessFrameless, BOOL fParams )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"566"	"WalkStack"	"WalkStack( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"611"	"WalkStackVerbose"	"WalkStackVerbose( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"6"	"read_name"	"int read_name( int ifile, LPSTR pch )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"29"	"FindExport"	"BOOL FindExport( LPSTR filename, WORD segment, WORD offset, LPSTR sym_text, int direction, LONG *dist )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"235"	"read_symbol"	"int read_symbol( int ifile, LPSTR pch, LONG *offset )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"255"	"FindSymbol"	"BOOL FindSymbol( WORD selector, LONG offset, LPSTR sym_text, LONG *dist, int direction, int mode )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"529"	"FindAddress"	"BOOL FindAddress( WORD *selector, LONG *offset, LPSTR sym_text, int mode )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"781"	"ListNear"	"ListNear( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"833"	"EvaluateSymbol"	"EvaluateSymbol( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
