canonical_definition_id	raw_definition_id	source_path	source_sha256	source_line	linkage	raw_symbol	canonical_symbol	name_resolution	macro_definition_spelling	source_line_evidence	canonical_group_key	final_function_disposition	leaf_status
"MVDM-ZERO-CANONICAL-DEFINITION-001335"	"MVDM-ZERO-DEFINITION-001335"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"107"	"external-or-unspecified"	"getVideodata_xor_mask"	"getVideodata_xor_mask"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideodata_xor_mask getVideodata_xor_mask()"	"linkable:getVideodata_xor_mask"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001336"	"MVDM-ZERO-DEFINITION-001336"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"113"	"external-or-unspecified"	"setVideolatch_xor_mask"	"setVideolatch_xor_mask"	"raw-ctags-symbol"	""	"GLOBAL void setVideolatch_xor_mask setVideolatch_xor_mask(IU32,value)"	"linkable:setVideolatch_xor_mask"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001337"	"MVDM-ZERO-DEFINITION-001337"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"118"	"external-or-unspecified"	"getVideolatch_xor_mask"	"getVideolatch_xor_mask"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideolatch_xor_mask getVideolatch_xor_mask()"	"linkable:getVideolatch_xor_mask"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001338"	"MVDM-ZERO-DEFINITION-001338"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"124"	"external-or-unspecified"	"setVideobit_prot_mask"	"setVideobit_prot_mask"	"raw-ctags-symbol"	""	"GLOBAL void setVideobit_prot_mask setVideobit_prot_mask(IU32,value)"	"linkable:setVideobit_prot_mask"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001339"	"MVDM-ZERO-DEFINITION-001339"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"129"	"external-or-unspecified"	"getVideobit_prot_mask"	"getVideobit_prot_mask"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideobit_prot_mask getVideobit_prot_mask()"	"linkable:getVideobit_prot_mask"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001340"	"MVDM-ZERO-DEFINITION-001340"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"135"	"external-or-unspecified"	"setVideoplane_enable"	"setVideoplane_enable"	"raw-ctags-symbol"	""	"GLOBAL void setVideoplane_enable setVideoplane_enable(IU32,value)"	"linkable:setVideoplane_enable"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001341"	"MVDM-ZERO-DEFINITION-001341"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"140"	"external-or-unspecified"	"getVideoplane_enable"	"getVideoplane_enable"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideoplane_enable getVideoplane_enable()"	"linkable:getVideoplane_enable"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001342"	"MVDM-ZERO-DEFINITION-001342"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"146"	"external-or-unspecified"	"setVideoplane_enable_mask"	"setVideoplane_enable_mask"	"raw-ctags-symbol"	""	"GLOBAL void setVideoplane_enable_mask setVideoplane_enable_mask(IU32,value)"	"linkable:setVideoplane_enable_mask"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001343"	"MVDM-ZERO-DEFINITION-001343"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"151"	"external-or-unspecified"	"getVideoplane_enable_mask"	"getVideoplane_enable_mask"	"raw-ctags-symbol"	""	"GLOBAL IU32 getVideoplane_enable_mask getVideoplane_enable_mask()"	"linkable:getVideoplane_enable_mask"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001344"	"MVDM-ZERO-DEFINITION-001344"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"157"	"external-or-unspecified"	"setVideosr_lookup"	"setVideosr_lookup"	"raw-ctags-symbol"	""	"GLOBAL void setVideosr_lookup setVideosr_lookup(IUH *,value)"	"linkable:setVideosr_lookup"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001345"	"MVDM-ZERO-DEFINITION-001345"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"162"	"external-or-unspecified"	"getVideosr_lookup"	"getVideosr_lookup"	"raw-ctags-symbol"	""	"GLOBAL IUH * getVideosr_lookup getVideosr_lookup()"	"linkable:getVideosr_lookup"	"not-host-runtime"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-001346"	"MVDM-ZERO-DEFINITION-001346"	"softpc.new/base/ccpu386/vglob.c"	"e695a9807285703119cffb0c3bc8a3aa6433ede43efa499f21a6e736f94395d8"	"168"	"external-or-unspecified"	"setVideofwd_str_read_addr"	"setVideofwd_str_read_addr"	"raw-ctags-symbol"	""	"GLOBAL void setVideofwd_str_read_addr setVideofwd_str_read_addr(IUH *,value)"	"linkable:setVideofwd_str_read_addr"	"not-host-runtime"	"leaf"
