"output_path"	"sha256"	"size_bytes"
"drivers/keyboard/keyboard.drv"	"c34d7d8d71453dd7567c6db28958a0d4d11e4b198cfc436f4d430d93a5a3584c"	"2000"
"drivers/mouse/mouse.drv"	"2fa5611bb18edd9c0f35e0a6b479b9d9db17549aed811ab692bd79c3e899f890"	"2032"
"drivers/mouse/MOUSE.EXE"	"2fa5611bb18edd9c0f35e0a6b479b9d9db17549aed811ab692bd79c3e899f890"	"2032"
"drivers/sound/sound.drv"	"d5932cbd4e0155a07d4d0f64c0f8afcdc3aefe90e06e7265c6651b10c2f03801"	"1744"
"fonts/app852.fon"	"ca3b89619d7c41798834f2e3da09138f1c57a391d5f963fcbef85665595358a6"	"16435"
"fonts/app857.fon"	"3b5bc4dde6a0b48f55252b94750b74c7621f4a0d8f7aff52bb49521078ce7959"	"16587"
"fonts/app866.fon"	"a782587b6adf4d698511eca99e115af79064b44429272c1c60e4ca70ef18d274"	"16663"
"fonts/cga40737.fon"	"c90ba5043990a30933ad7a0db2794cda3870b85b09378ae4e778579cd0ad594a"	"3641"
"fonts/cga40852.fon"	"d0aa5a7d2a9c6bef4d2f11d7e715df3b4fbc4e93caa141a0c1ec5ee4d92b26d6"	"3349"
"fonts/cga40857.fon"	"71f1c8d03809a74eee037b5a8c4598148469a4c72e8a5d3722e3515ef50a72a0"	"3335"
"fonts/cga40866.fon"	"8a16153551932c535c6934cb3a675f2db6691348cc3e7fffdf5f4c3075e9552e"	"3726"
"fonts/cga40869.fon"	"e591d52af2b5d6fde8dfd7bba0ce17d88fad8b074c9adeddd6745a1dedca8779"	"3689"
"fonts/cga80737.fon"	"a4fdc16ee91e64484a26a3401772c3311c506b55c8b49a2cddf77393b679d6b5"	"3075"
"fonts/cga80852.fon"	"0a4603adf2f1963d6b8dcfb87693a9dabfd73ee399c71b3ee088500baa68363a"	"3113"
"fonts/cga80857.fon"	"66bb0ea0706867d0b6d88676c9b286211b7b13c955b4c38fe6c53d41680722b5"	"2745"
"fonts/cga80866.fon"	"62bf8f0faf2eb756308ff5bfd35d386b36c57c04972fc4fa4f028091e15f2e5c"	"3097"
"fonts/cga80869.fon"	"a1f1c479b7476bf5de8a0625503a4ed9bd93b6de594b9bbd91dc6f167cd61410"	"3111"
"fonts/dos737.fon"	"db45dee073fd4e9ea808b23066923ee7234f201213fc8b971e548acc4eb3ab28"	"15892"
"fonts/dos869.fon"	"7a02637c46fdbcd37ae45ffac1bb4e64e211ea7d35d706f764ca90f363554548"	"16369"
"fonts/ega40737.fon"	"2193751df9e228eefe7b45e203940384e06d1b2f46fa50bf3922f9ec99dc8e4c"	"3943"
"fonts/ega40852.fon"	"224ed3deb909fddcc8f62730734989f3c957dd116d9ef8fcbb1e1454fa7e2aed"	"4013"
"fonts/ega40857.fon"	"0a17519ac31c85d6a30764d84a6987d08e670bc64774a55cd70c21670a0c6020"	"3693"
"fonts/ega40866.fon"	"4c19e883916a50dd9b8b88cb16695e4a0c0e8b5b59e83e561c03f0bf747e4e63"	"4091"
"fonts/ega40869.fon"	"2193751df9e228eefe7b45e203940384e06d1b2f46fa50bf3922f9ec99dc8e4c"	"3943"
"fonts/ega80737.fon"	"577c24b715c88a32240e0af91ad32755f589e9f274f7736aac6056cb11f495e1"	"3320"
"fonts/ega80852.fon"	"4cfdd7f22001f4cace10776ac2110d800e31c5a2c23737d78b46b9cfe1d86fad"	"3234"
"fonts/ega80857.fon"	"49e22e1c3bc9edf2026afbea5ee7b8a2cb4baf1d5b2424d2ff92c8d26fadf26e"	"2914"
"fonts/ega80866.fon"	"f0cafc12600590e3ae2b92dd4ab3286ad8bab6d8c6f254c3d8b11ec6367c86b9"	"3262"
"fonts/ega80869.fon"	"ef744037ab220fdc2b11a9f65a985cc9d6131e0a0f28ff346a7f0eda7a0bcb0a"	"3355"
"fonts/sserifee.fon"	"061b1ea239e3e29408a7d3bc8d6b0275b501cb8432755c8523f9647ddd4237ee"	"22096"
"fonts/sserifeg.fon"	"a26dc4fc50c9b2bed73a07ed98e4ddcd26fe90395fff5baa733d4103968dd5d9"	"22080"
"fonts/sserifer.fon"	"183c9c62353f3af6f2d40ec8ebcb8e4ed159cf2a31bc1cfb084b8f013db16f5f"	"23420"
"fonts/sserifet.fon"	"e5a7dd835a05a5296947f0e0d36d0401b632a40238b18ac3794b3b8f488beecb"	"21406"
"fonts/vga737.fon"	"e36fcd5763aff69021177a3fad66ba7b79ee889e888967bdc2fa7b6845ec4b3b"	"3170"
"fonts/vga852.fon"	"c0a2e36b551c8c342c22406f4e4edda5b3bda9cab17b35ca40a73df078037ecd"	"3317"
"fonts/vga857.fon"	"71f1c3ee2dfd72c8a0d5dc11f1b7f15eeaf5a4d7f9df1156a155b1680d47e3e9"	"2912"
"fonts/vga866.fon"	"41addc4a9d416a59e9f4090edd7bd595604d77fba27867384590d35a7bbe4cef"	"3310"
"fonts/vga869.fon"	"e2651fe72a321367aef3dce9bb27d44c92b05ac2f0b79ed647dd2235b76f581b"	"3210"
"fonts/vgafixe.fon"	"55e50f6fad7d800f6018adc95f440d469864382934594bb757a1e8aa3cb0e257"	"2885"
"fonts/vgafixg.fon"	"b1546c96b9a710dce5c5258522ba82178d8875f17c8046d741b3c42f36ca5ff6"	"2465"
"fonts/vgafixr.fon"	"ee7a4cb553689445b9f5210fdd40c5638694a1100d0898fcfa6359c155f34f43"	"3010"
"fonts/vgafixt.fon"	"1ef1dd3c452a06002da0d8a26f2851e1930cc917184455dfe302f2de6da08199"	"2457"
"fonts/vgasyse.fon"	"1e132806cd260349dc68d6f21e140f8a78c53caedc9c97ea8cc2f193e9364b52"	"3152"
"fonts/vgasysg.fon"	"2dd9377ea834bf604ce0b6128a7e841e042c3adc35729e625eca7d11b53837e6"	"2796"
"fonts/vgasysr.fon"	"49b4a2be63c8c397e8ff7b1c85342adff4a3297ea4bfe42d6415e6849c5ba0b7"	"3335"
"fonts/vgasyst.fon"	"ef6d568597e943d24d91dddebaf3024712b4420a54deb4863d2788b91aba2ebc"	"2755"
"gdi/GDI.EXE"	"dfd5dc0236cad81be49070ac00cae78891985af395fa92755a621bd9c82bf3ce"	"21504"
"kernel31/debug3/kernstub.exe"	"4bef21a8e6aec527bdffea9daa75f600b83b8e0f19266dc1b28cf16ba8260d6d"	"721"
"kernel31/debug3/krnl386.exe"	"d3e1f922bc52178db2eec675ae9044c5efee1713c52e30cd08e43be6ba1a6173"	"106080"
"kernel31/retail3/kernstub.exe"	"4bef21a8e6aec527bdffea9daa75f600b83b8e0f19266dc1b28cf16ba8260d6d"	"721"
"kernel31/retail3/krnl386.exe"	"bced7650a5b5d7ac25955ab2a21bc53ff06de1c35b25fad0690390135b093a03"	"85824"
"killwow/KILLWOW.EXE"	"0ce3326b45eb302d26b0ea605109ed4ce5622539153d2209f43986cf2fdb50a3"	"2944"
"LANMAN.DRV"	"60204f58744d38e9201ba958d45c483ce7989b216b98a67ce5aa355af37dec02"	"221600"
"mciole/MCIOLE16.DLL"	"0eba8dc565c51c189134d54d691a89209f4f196239e40d062959606b6b14e8a3"	"9216"
"mmsystem/MMSYSTEM.DLL"	"080432d0cad660b163d0d231d37603010f7d9366f58570ac7c74d171c518211a"	"86976"
"ole/server/debug/OLESVR.DLL"	"995faa034447d5c17fce1b0c5bf170817bc8671efefe934296921d6121e31910"	"47616"
"ole/server/retail/OLESVR.DLL"	"8bea5e9a9c49e84701f55e14312eb11bd04c1434c1ab59578c916a7db69aa3cc"	"24064"
"rasapi16/RASAPI16.DLL"	"af31d54e742b4c34f451d40c7405c3198d67a77808d41b559336ad0b9fd49cad"	"4960"
"shell/SHELL.DLL"	"b5c132c76b5106be713b2e1b1e519ec9f540a39fcb8efca5ccaa42f16ecca04f"	"5120"
"sherlock/DRWATSON.EXE"	"2f93a0a46f2e88b4bdafe03111e901030f3ec0d862f3d2c675a66aae36158aa3"	"32592"
"system/system.drv"	"32d88d68fd5dae0f37766db04742caa912c9a4c7193d15a1e99e617ff6f794a3"	"3360"
"test/shell/WOWEXEC.EXE"	"38ef366eb55aecc63183f32493b837cb4bdf059d969dd27185fce6266cdc074d"	"14480"
"timer/TIMER.DRV"	"4567fa8b0a10a7b3de47c9366e0a1acfeaf55d1e12387e76c89bbf474b914e5d"	"4288"
"toolhelp/TOOLHELP.DLL"	"ddeeccc103f7e3c105602a6f791792baa7778a796709be63983a8a921df80cfe"	"15520"
"wfwnet/WFWNET.DRV"	"4c321d43511f845ec1a95518507133d1cf4cf3993bae422037dba95ce6258cca"	"15744"
"winsock/WINSOCK.DLL"	"629e86c59c83f66d3623388b9ed6ae9d5a664979e588a9eb45b8a54441126fd9"	"2880"
"winspool/WINSPOOL.EXE"	"e4e787340f124476090ed0f22837d7d7acab37fd7bbe49db46cae9ac4944d535"	"2112"
"wowdeb/WOWDEB.EXE"	"b0156dc5fa0233fc92d577a3988a5be548445347babd841620f1e0c0421d79c0"	"3952"
"write/WRITE.EXE"	"08ee1659788880fb593815ff9609bfe76743c1182d05e6702764bf3dff68b30b"	"244480"
"write/write16.exe"	"08ee1659788880fb593815ff9609bfe76743c1182d05e6702764bf3dff68b30b"	"244480"
