root	relative_path	size_bytes	sha256	file_class	source_series	final_disposition	staged_destination	provenance_reference
build-output	fonts/vga857.fon	2912	71f1c3ee2dfd72c8a0d5dc11f1b7f15eeaf5a4d7f9df1156a155b1680d47e3e9	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vga866.fon	3310	41addc4a9d416a59e9f4090edd7bd595604d77fba27867384590d35a7bbe4cef	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vga869.fon	3210	e2651fe72a321367aef3dce9bb27d44c92b05ac2f0b79ed647dd2235b76f581b	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgafixe.fon	2885	55e50f6fad7d800f6018adc95f440d469864382934594bb757a1e8aa3cb0e257	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgafixg.fon	2465	b1546c96b9a710dce5c5258522ba82178d8875f17c8046d741b3c42f36ca5ff6	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgafixr.fon	3010	ee7a4cb553689445b9f5210fdd40c5638694a1100d0898fcfa6359c155f34f43	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgafixt.fon	2457	1ef1dd3c452a06002da0d8a26f2851e1930cc917184455dfe302f2de6da08199	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgasyse.fon	3152	1e132806cd260349dc68d6f21e140f8a78c53caedc9c97ea8cc2f193e9364b52	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgasysg.fon	2796	2dd9377ea834bf604ce0b6128a7e841e042c3adc35729e625eca7d11b53837e6	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgasysr.fon	3335	49b4a2be63c8c397e8ff7b1c85342adff4a3297ea4bfe42d6415e6849c5ba0b7	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	fonts/vgasyst.fon	2755	ef6d568597e943d24d91dddebaf3024712b4420a54deb4863d2788b91aba2ebc	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	gdi/GDI.EXE	21504	dfd5dc0236cad81be49070ac00cae78891985af395fa92755a621bd9c82bf3ce	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	GRAPHICS.COM	19694	989b38806ec1e1bdd30da3dc6b41cc85bdc81dda74f870fcc7df399876eb2756	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	HIMEM.SYS	4768	08aa2c47d835460ed3067fa7d6f8a3b37edeca524ad102b0588fdd1bf389ce08	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	KB16.COM	14710	9c432ea71e0e11bfb2edf9166c862826115ec4cdf8439f986a5ed71d9a3af3b9	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	kernel31/debug3/kernstub.exe	721	4bef21a8e6aec527bdffea9daa75f600b83b8e0f19266dc1b28cf16ba8260d6d	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	kernel31/debug3/krnl386.exe	106080	d3e1f922bc52178db2eec675ae9044c5efee1713c52e30cd08e43be6ba1a6173	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	kernel31/retail3/kernstub.exe	721	4bef21a8e6aec527bdffea9daa75f600b83b8e0f19266dc1b28cf16ba8260d6d	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	kernel31/retail3/krnl386.exe	85824	bced7650a5b5d7ac25955ab2a21bc53ff06de1c35b25fad0690390135b093a03	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	KEYBOARD.SYS	40665	96fcac606683cf262dbc030713a9263731ee83f19a10207e5dd632e5ee06c2ad	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	killwow/KILLWOW.EXE	2944	0ce3326b45eb302d26b0ea605109ed4ce5622539153d2209f43986cf2fdb50a3	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	LANMAN.DRV	221600	60204f58744d38e9201ba958d45c483ce7989b216b98a67ce5aa355af37dec02	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	LOADFIX.COM	1131	8e62654a49bd88c784c53f25e9fba13c641624d6a02214385115f66ccf1ecfdb	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	mciole/MCIOLE16.DLL	9216	0eba8dc565c51c189134d54d691a89209f4f196239e40d062959606b6b14e8a3	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	mem.exe	40462	c4582b1e0738f3aaf89e17de0f940caa7e4b3d77a21fccd6ff91b7e075bdf6eb	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	mmsystem/MMSYSTEM.DLL	86976	080432d0cad660b163d0d231d37603010f7d9366f58570ac7c74d171c518211a	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	msherc.com	6934	eb96ee0e8be6d4a4332c3e1947d95f9c448a0a8a96b5cd74a38d33a1e0b9405e	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	nlsfunc.exe	7052	a49e8c6c392f0fd323b52c1fa612420a9fc0258ba59413ccb3d2d19b1f229ee8	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	NTDOS.SYS	27858	957662320654ad5251c3a8b228a5dadec28aa65dddbcba38c3658a6e7f93bc84	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	NTIO.SYS	33792	cfc8be16576bb6acd16bb8fc9b2d9a080f544bbfdd2d2d2df07ed908b3ab4937	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	ole/server/debug/OLESVR.DLL	47616	995faa034447d5c17fce1b0c5bf170817bc8671efefe934296921d6121e31910	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	ole/server/retail/OLESVR.DLL	24064	8bea5e9a9c49e84701f55e14312eb11bd04c1434c1ab59578c916a7db69aa3cc	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	qbasic.exe	257824	e8341b546cc12cfd4d59a7eb24e116f2cfbcae71779d9a7f712902f65e5deb6e	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	rasapi16/RASAPI16.DLL	4960	af31d54e742b4c34f451d40c7405c3198d67a77808d41b559336ad0b9fd49cad	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	REDIR.EXE	3338	b6e9fad30a5423ead9ecb45c8e28197ea62a39187d36241f9018db82facac3a7	binary-product	source-built-cross-check	runtime-media	mvdm/system32/REDIR.EXE	build/output/dos
build-output	setver.exe	11689	8ab7e855fb4bd066ac0230dfb7d194180bb73fdd99c040c340a903353dcd822b	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	share.EXE	882	69dabbdb754b358ac4fe4b22de04c0e4c93076816f14bb0730caa9fd223996fc	binary-product	source-built-cross-check	source-built-cross-check		build/output/dos
build-output	shell/SHELL.DLL	5120	b5c132c76b5106be713b2e1b1e519ec9f540a39fcb8efca5ccaa42f16ecca04f	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	sherlock/DRWATSON.EXE	32592	2f93a0a46f2e88b4bdafe03111e901030f3ec0d862f3d2c675a66aae36158aa3	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	system/system.drv	3360	32d88d68fd5dae0f37766db04742caa912c9a4c7193d15a1e99e617ff6f794a3	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	test/shell/WOWEXEC.EXE	14480	38ef366eb55aecc63183f32493b837cb4bdf059d969dd27185fce6266cdc074d	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	timer/TIMER.DRV	4288	4567fa8b0a10a7b3de47c9366e0a1acfeaf55d1e12387e76c89bbf474b914e5d	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	toolhelp/TOOLHELP.DLL	15520	ddeeccc103f7e3c105602a6f791792baa7778a796709be63983a8a921df80cfe	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	wfwnet/WFWNET.DRV	15744	4c321d43511f845ec1a95518507133d1cf4cf3993bae422037dba95ce6258cca	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	winsock/WINSOCK.DLL	2880	629e86c59c83f66d3623388b9ed6ae9d5a664979e588a9eb45b8a54441126fd9	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	winspool/WINSPOOL.EXE	2112	e4e787340f124476090ed0f22837d7d7acab37fd7bbe49db46cae9ac4944d535	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
build-output	wowdeb/WOWDEB.EXE	3952	b0156dc5fa0233fc92d577a3988a5be548445347babd841620f1e0c0421d79c0	binary-product	source-built-cross-check	source-built-cross-check		build/output/wow16
