"definition_id"	"file_id"	"definition_path"	"package_root"	"source_line"	"lexical_name"	"provenance"	"evidence"
"MVDM-DEF-00079"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1851"	"DBLreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1851"
"MVDM-DEF-00080"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1858"	"DBHreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1858"
"MVDM-DEF-00081"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1865"	"DCLreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1865"
"MVDM-DEF-00082"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1872"	"DCHreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1872"
"MVDM-DEF-00083"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1879"	"DDLreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1879"
"MVDM-DEF-00084"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1886"	"DDHreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1886"
"MVDM-DEF-00085"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1893"	"DAXreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1893"
"MVDM-DEF-00086"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1903"	"DBXreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1903"
"MVDM-DEF-00087"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1913"	"DCXreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1913"
"MVDM-DEF-00088"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1923"	"DDXreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1923"
"MVDM-DEF-00089"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1933"	"DBPreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1933"
"MVDM-DEF-00090"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1943"	"DSPreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1943"
"MVDM-DEF-00091"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1953"	"DSIreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1953"
"MVDM-DEF-00092"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1963"	"DDIreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1963"
"MVDM-DEF-00093"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1973"	"DCSreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1973"
