table	instance	slot	typed_return	typed_arity	typed_parameters	source_symbol	generated_definition	disposition
"VideoVector"	"C_Video"	"36"	"IU8"	"0"	""	"S_0399_CiGetVideowrmode_00000024"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"37"	"IU8"	"0"	""	"S_0400_CiGetVideochain_00000025"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"38"	"IU8"	"0"	""	"S_0401_CiGetVideowrstate_00000026"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"39"	"void"	"1"	"IU32, value"	"S_0402_CiSetVideolatches_00000027"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"40"	"void"	"1"	"IU8 *, value"	"S_0403_CiSetVideorplane_00000028"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"41"	"void"	"1"	"IU8 *, value"	"S_0404_CiSetVideowplane_00000029"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"42"	"void"	"1"	"IU8 *, value"	"S_0405_CiSetVideoscratch_0000002a"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"43"	"void"	"1"	"IU32, value"	"S_0406_CiSetVideosr_masked_val_0000002b"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"44"	"void"	"1"	"IU32, value"	"S_0407_CiSetVideosr_nmask_0000002c"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"45"	"void"	"1"	"IU32, value"	"S_0408_CiSetVideodata_and_mask_0000002d"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"46"	"void"	"1"	"IU32, value"	"S_0409_CiSetVideodata_xor_mask_0000002e"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
