"target_path"	"source_path"	"source_sha256"	"size_bytes"	"action"
"cmd/command/tenv2.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tenv2.asm"	"46a0c1a731bb73e4afe4d17c40f48b96f78817a18483f210fe59c2994fd0affd"	"18119"	"already-identical"
"cmd/command/tfor.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tfor.asm"	"93cd89114a467bce48900d36c81897f5f739a091280c17a6560d7b953dd519ae"	"16150"	"already-identical"
"cmd/command/tmisc1.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tmisc1.asm"	"6d9fcd49ae29b1bec75ba82a11f7867822066156836b9fb6faf9c2637f8ab341"	"21163"	"already-identical"
"cmd/command/tmisc2.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tmisc2.asm"	"3c99901c307699d4bd13d5543e9e2325f2be488fb864804ca7d32cb0a3dd1f20"	"12961"	"already-identical"
"cmd/command/tparse.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tparse.asm"	"6b5e17ff0428e5b9d7d87ec076ef92c2b8f6dbb8e0f09a9e325af0c2e55ba51d"	"1668"	"already-identical"
"cmd/command/tpipe.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tpipe.asm"	"8212af6332ff32ff97a743371f24e9a7c0119bd3809a870c339ce287e7005310"	"20321"	"already-identical"
"cmd/command/tprintf.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tprintf.asm"	"8d26916986436081d862eac4d9988b47f846da6180c69d80a1a9d730ff46829e"	"11814"	"already-identical"
"cmd/command/tranmsg.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tranmsg.asm"	"8496a6825b370e89a3c1827b03b11697832941e35a7f65cce6352f126f72c5a2"	"25239"	"already-identical"
"cmd/command/tspc.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tspc.asm"	"cae808af6cd1657cc41f4e83d26f67353d085d291db2f300e9380025b41a350f"	"13946"	"already-identical"
"cmd/command/tucode.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tucode.asm"	"33a7ef94560d9b04bb431842426cd83e79c654ffef6b8faff414eded486b7628"	"15772"	"already-identical"
