resolution_id	one_ledger1_identity	callee_spelling	candidate_identity	definition_source_root	definition_source_path	definition_source_sha256	definition_source_line	definition_symbol	definition_linkage	source_location	disposition
"MVDM-HOST-ONE1-RESOLUTION-001879"	"MVDM-HOST-ONE1-002039"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintlsa.cxx|75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea|479|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintlsa.cxx"	"75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea"	"479"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001879"	"MVDM-HOST-ONE1-002039"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintsam.cxx|cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e|365|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintsam.cxx"	"cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e"	"365"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001879"	"MVDM-HOST-ONE1-002039"	"CloseHandle"	"O:\repos.external\OpenNT|base/mvdm/wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361|CloseHandle"	"O:\repos.external\OpenNT"	"base/mvdm/wow16/mmsystem/mmsex.c"	"93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196"	"361"	"CloseHandle"	"externally-linkable"	"selected-MVDM-or-extracted-SoftPC-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001879"	"MVDM-HOST-ONE1-002039"	"CloseHandle"	"O:\repos.external\OpenNT|base/win32/client/handle.c|1f2eb69cc771af45fa689101dcde0c38131db6ffa5801c495ad0ddba491017c8|24|CloseHandle"	"O:\repos.external\OpenNT"	"base/win32/client/handle.c"	"1f2eb69cc771af45fa689101dcde0c38131db6ffa5801c495ad0ddba491017c8"	"24"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001880"	"MVDM-HOST-ONE1-002040"	"free"	"O:\repos.external\OpenNT|admin/netui/common/src/misc/loclheap/loclheap.cxx|f3fb3c62cb79893397bcb8bb0d08589e8969659fc987d3764e76a7c7ea39cbb6|60|free"	"O:\repos.external\OpenNT"	"admin/netui/common/src/misc/loclheap/loclheap.cxx"	"f3fb3c62cb79893397bcb8bb0d08589e8969659fc987d3764e76a7c7ea39cbb6"	"60"	"free"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001880"	"MVDM-HOST-ONE1-002040"	"free"	"O:\repos.external\OpenNT|base/boot/veneer/vrmalloc.c|55f339b08b88663ba21be91537ddc47fc564e4036b82756adf603890a82fc06e|195|free"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrmalloc.c"	"55f339b08b88663ba21be91537ddc47fc564e4036b82756adf603890a82fc06e"	"195"	"free"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001880"	"MVDM-HOST-ONE1-002040"	"free"	"O:\repos.external\OpenNT|base/crts/crtw32/misc/dbgheap.c|385b134122869b2f5416efde75bd375b0887fd369a00de7c1249d40108fb73f7|956|free"	"O:\repos.external\OpenNT"	"base/crts/crtw32/misc/dbgheap.c"	"385b134122869b2f5416efde75bd375b0887fd369a00de7c1249d40108fb73f7"	"956"	"free"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001880"	"MVDM-HOST-ONE1-002040"	"free"	"O:\repos.external\OpenNT|com/ole32/ole232/debug/dstream.cpp|77236635c87c768a950584d39e6ad89b66eb35cf8276de82f24a1591c5a48e50|276|free"	"O:\repos.external\OpenNT"	"com/ole32/ole232/debug/dstream.cpp"	"77236635c87c768a950584d39e6ad89b66eb35cf8276de82f24a1591c5a48e50"	"276"	"free"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001881"	"MVDM-HOST-ONE1-002041"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintlsa.cxx|75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea|479|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintlsa.cxx"	"75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea"	"479"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001881"	"MVDM-HOST-ONE1-002041"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintsam.cxx|cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e|365|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintsam.cxx"	"cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e"	"365"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
